timestamp,temp,humidity,pressure,wind
1773748800,2.32,55,1006,8.58
1773759600,3.69,45,1009,8.37
1773770400,7.44,28,1012,8.52
1773781200,4.98,28,1013,9.27
1773792000,3.06,36,1018,6.61
1773802800,0.22,43,1021,5.83
1773813600,-0.99,32,1024,5.66
1773824400,-1.97,35,1025,5.04
1773835200,-1.97,33,1029,4.45
1773846000,-0.77,29,1030,3.15
1773856800,2.1,22,1028,0.84
1773867600,2.56,27,1027,4.05
1773878400,1.25,42,1029,5.13
1773889200,1.64,46,1029,3.94
1773900000,1.59,50,1028,3.47
1773910800,1.57,49,1026,2.77
1773921600,2.18,49,1026,2.43
1773932400,4.16,46,1026,3.95
1773943200,5.59,46,1024,4.66
1773954000,5.9,48,1021,5.66
1773964800,4.74,59,1022,4.64
1773975600,4.65,67,1022,4.21
1773986400,4.25,67,1020,3.55
1773997200,4.33,61,1019,1.46
1774008000,4.81,62,1019,1.85
1774018800,5.12,71,1020,1.64
1774029600,7.51,60,1018,2.05
1774040400,10.41,56,1016,1.97
1774051200,8.2,67,1017,1.77
1774062000,7.37,75,1018,1.29
1774072800,6.53,70,1018,2.94
1774083600,6.19,65,1018,3.14
1774094400,6,63,1018,2.81
1774105200,8.6,54,1019,0.91
1774116000,9.74,54,1017,2.98
1774126800,8.56,63,1017,4.73
1774137600,8.06,72,1018,4.16
1774148400,8.47,73,1018,3.47
1774159200,8.41,76,1018,2.59
1774170000,8.27,81,1017,3.82
